target_id	test_stat	pval	qval	rss	sigma_sq	tech_var	mean_obs	var_obs	sigma_sq_pmax	smooth_sigma_sq	final_sigma_sq	degrees_free	
80	gene-A1S_3134	9.112816037	0.002538248	0.039405904	1.61566401	0.512958456	0.025596214	4.513683942	0.53855467	0.512958456	0.145804423	0.512958456	1
81	gene-A1S_3329	9.103833308	0.002550744	0.039405904	2.793312819	0.838378437	0.092725836	2.967013383	0.931104273	0.838378437	0.206596706	0.838378437	1
82	gene-A1S_2166	9.021204682	0.002668655	0.040550531	0.8153067	0.246779745	0.024989155	4.622256894	0.2717689	0.246779745	0.142532496	0.246779745	1
83	gene-A1S_1186	8.94087829	0.002788586	0.041862388	0.398055828	0.124423307	0.008261969	5.057987637	0.132685276	0.124423307	0.132252702	0.132252702	1
84	gene-A1S_1268	8.916828475	0.002825548	0.041866083	12.54445285	4.159684088	0.021800194	1.077261878	4.181484282	4.159684088	1.655414264	4.159684088	1
85	gene-A1S_1383	8.897231877	0.002856033	0.041866083	6.905011998	2.099360078	0.202310588	2.193551143	2.301670666	2.099360078	0.368840678	2.099360078	1
86	gene-A1S_0360	8.871582812	0.002896439	0.041880494	4.93505382	1.633025307	0.011992633	5.024316099	1.64501794	1.633025307	0.132893463	1.633025307	1
87	gene-A1S_2736	8.843128932	0.002941943	0.041880494	1.474702206	0.461876506	0.029690896	4.387872111	0.491567402	0.461876506	0.149980722	0.461876506	1
88	gene-A1S_3069	8.83328675	0.002957852	0.041880494	0.953571999	0.290299779	0.027557554	4.288094218	0.317857333	0.290299779	0.153600215	0.290299779	1
89	gene-A1S_0802	8.808265367	0.00299869	0.041981658	5.020161331	1.543569971	0.129817139	2.336365802	1.67338711	1.543569971	0.303037152	1.543569971	1
90	gene-A1S_3404	8.732937709	0.003125126	0.04326563	3.323674149	0.958880226	0.149011157	3.527132468	1.107891383	0.958880226	0.182442422	0.958880226	1
91	gene-A1S_0281	8.65534406	0.003261035	0.044651094	1.240433826	0.373342185	0.040135757	3.554807132	0.413477942	0.373342185	0.181369836	0.373342185	1
92	gene-A1S_3415	8.621415589	0.003322336	0.044995979	11.76599294	3.888288234	0.033709412	1.020948198	3.921997646	3.888288234	1.709796616	3.888288234	1
93	gene-A1S_0592	8.60139373	0.003359058	0.045004159	0.940868694	0.288646895	0.024976003	4.056508118	0.313622898	0.288646895	0.163120211	0.288646895	1
94	gene-A1S_2477	8.529782829	0.003493814	0.046311618	0.53919571	0.168364145	0.011367759	4.80111203	0.179731903	0.168364145	0.137779009	0.168364145	1
95	gene-A1S_2322	8.430501811	0.003689785	0.048394444	4.534665044	1.325651266	0.185903749	3.518122782	1.511555015	1.325651266	0.182803539	1.325651266	1
96	gene-A1S_0183	8.281597222	0.004004888	0.048725857	3.603658667	1.058726305	0.14249325	2.684014733	1.201219556	1.058726305	0.235843778	1.058726305	1
97	gene-A1S_0818	8.281920901	0.004004175	0.048725857	7.388959312	2.019912604	0.443073833	2.77105355	2.462986437	2.019912604	0.22354747	2.019912604	1
98	gene-A1S_1726	8.353002406	0.003850505	0.048725857	2.994609011	0.978010836	0.020192168	4.370967337	0.998203004	0.978010836	0.150574438	0.978010836	1
99	gene-A1S_2142	8.348501281	0.003860056	0.048725857	11.83408844	3.881452266	0.063243879	1.634395891	3.944696145	3.881452266	0.970470655	3.881452266	1
100	gene-A1S_2329	8.271194453	0.0040279	0.048725857	1.545495586	0.457692437	0.057472759	3.401414212	0.515165195	0.457692437	0.18815918	0.457692437	1
101	gene-A1S_2450	8.298866186	0.003966984	0.048725857	1.767630762	0.524443655	0.064766599	3.056637445	0.589210254	0.524443655	0.203189571	0.524443655	1
102	gene-A1S_3000	8.301282917	0.003961708	0.048725857	0.71788451	0.214491009	0.024803828	4.316595994	0.239294837	0.214491009	0.152537786	0.214491009	1
103	gene-A1S_3066	8.359021999	0.003837771	0.048725857	0.620207495	0.191152892	0.01558294	4.81860082	0.206735832	0.191152892	0.137355173	0.191152892	1
104	gene-A1S_2628	8.218105616	0.004147447	0.04968961	0.972014971	0.286598022	0.037406968	4.023488256	0.32400499	0.286598022	0.164612084	0.286598022	1
