target_id	pval	qval	b	se_b	mean_obs	var_obs	tech_var	sigma_sq	smooth_sigma_sq	final_sigma_sq	
14	gene-A1S_0116	2.32E-12	1.93E-10	-5.483845309	0.781894628	2.826426153	10.43175926	0.249317621	0.362041589	0.10727222	0.362041589
15	gene-A1S_3074	2.32E-12	1.93E-10	-1.999879381	0.285137777	4.180858334	1.369768712	0.046347719	0.008546581	0.034955833	0.034955833
16	gene-A1S_1336	8.73E-12	6.82E-10	1.318169386	0.193109484	4.643934927	0.590223199	0.011903449	0.004646084	0.025387824	0.025387824
17	gene-A1S_1571	1.19E-11	8.75E-10	1.917107686	0.282707019	3.768533448	1.255706895	0.032453903	0.013455499	0.047469356	0.047469356
18	gene-A1S_0884	7.12E-11	4.94E-09	-1.416598131	0.217333304	4.661305487	0.678802114	0.022131299	-0.007303262	0.025102466	0.025102466
19	gene-A1S_0661	1.64E-10	1.08E-08	2.341570862	0.366322076	3.550808586	1.91711261	0.034410962	0.099780901	0.055698823	0.099780901
20	gene-A1S_0683	1.90E-10	1.19E-08	2.074843725	0.325775366	3.501962529	1.457576725	0.048311976	-0.014435129	0.057817613	0.057817613
21	gene-A1S_2072	3.24E-10	1.93E-08	1.453791171	0.231241354	4.268645828	0.709993147	0.020657116	-0.012421779	0.032815447	0.032815447
22	gene-A1S_3405	3.70E-10	2.10E-08	-1.656599103	0.264377988	4.345511799	0.953686676	0.038817581	0.019552139	0.03107814	0.03107814
23	gene-A1S_0004	4.43E-10	2.41E-08	1.398958839	0.224262667	4.404543188	0.656880878	0.020468802	-0.013690402	0.029824942	0.029824942
24	gene-A1S_0445	5.82E-10	3.03E-08	1.977860286	0.319260997	3.649012621	1.351731751	0.050146373	0.021485599	0.051781211	0.051781211
25	gene-A1S_3075	1.20E-09	6.00E-08	-1.188527776	0.19547771	4.824247756	0.477104125	0.015573387	-0.006216337	0.022638148	0.022638148
26	gene-A1S_2881	1.46E-09	7.02E-08	1.269731188	0.209918522	4.480260269	0.55351632	0.01575162	0.008414216	0.028314166	0.028314166
27	gene-A1S_0115	2.72E-09	1.26E-07	-3.111140497	0.523105023	4.152730496	3.408824308	0.129051496	0.144587369	0.035678984	0.144587369
28	gene-A1S_0154	4.08E-09	1.82E-07	-1.756047352	0.298597175	4.055221501	1.068176914	0.050824642	0.009589578	0.038335631	0.038335631
29	gene-A1S_2452	5.26E-09	2.26E-07	1.49189685	0.255515762	4.000748061	0.742302437	0.025361641	-0.02478609	0.039926663	0.039926663
30	gene-A1S_2719	5.59E-09	2.33E-07	-1.84512578	0.316570409	3.901940988	1.179129503	0.057196003	0.00925368	0.043020821	0.043020821
31	id-A1S_r02	9.60E-09	3.53E-07	1.935024254	0.337253001	12.34664409	1.321024238	7.80E-07	0.109376145	0.113738807	0.113738807
32	id-A1S_r05	9.60E-09	3.53E-07	1.935024254	0.337253001	12.34664409	1.321024238	7.80E-07	0.109376145	0.113738807	0.113738807
33	id-A1S_r11	9.60E-09	3.53E-07	1.935024254	0.337253001	12.34664409	1.321024238	7.80E-07	0.109376145	0.113738807	0.113738807
34	id-A1S_r14	9.60E-09	3.53E-07	1.935024254	0.337253001	12.34664409	1.321024238	7.80E-07	0.109376145	0.113738807	0.113738807
35	gene-A1S_1335	1.18E-08	3.98E-07	1.250685229	0.219305144	4.376415432	0.541574112	0.017681165	0.012573232	0.030413581	0.030413581
36	gene-A1S_1687	1.13E-08	3.98E-07	6.464386136	1.132201985	3.669529783	14.78401693	0.01178408	1.270097254	0.051010573	1.270097254
37	gene-A1S_3171	1.17E-08	3.98E-07	1.889525555	0.331270728	3.571462406	1.263262472	0.049482678	0.060257617	0.054839755	0.060257617
38	gene-A1S_3065	1.58E-08	5.20E-07	-1.695906334	0.300036173	4.028871811	0.971550288	0.050926397	-0.031650113	0.039095308	0.039095308
39	gene-A1S_0675	1.69E-08	5.40E-07	2.277471662	0.403709859	4.770119793	1.83761349	0.010806881	0.152174769	0.023415766	0.152174769
40	id-A1S_r01	3.04E-08	8.25E-07	2.269147699	0.409650296	11.62943643	1.828219337	1.42E-06	0.167811944	0.072237952	0.167811944
41	id-A1S_r06	3.04E-08	8.25E-07	2.269147699	0.409650296	11.62943643	1.828219337	1.42E-06	0.167811944	0.072237952	0.167811944
42	id-A1S_r09	3.04E-08	8.25E-07	2.269147699	0.409650296	11.62943643	1.828219337	1.42E-06	0.167811944	0.072237952	0.167811944
43	gene-A1S_2718	2.95E-08	8.25E-07	-2.109279162	0.380450552	3.933810353	1.556416902	0.102748754	0.007347307	0.041993868	0.041993868
44	id-A1S_r12	3.04E-08	8.25E-07	2.269147699	0.409650296	11.62943643	1.828219337	1.42E-06	0.167811944	0.072237952	0.167811944
45	id-A1S_r15	3.04E-08	8.25E-07	2.269147699	0.409650296	11.62943643	1.828219337	1.42E-06	0.167811944	0.072237952	0.167811944
46	gene-A1S_3297	2.73E-08	8.25E-07	-1.563368013	0.28129548	4.23348129	0.855726352	0.045475022	0.016054734	0.033652125	0.033652125
47	gene-A1S_1104	4.05E-08	1.08E-06	4.415191081	0.804443076	1.760719624	6.564078844	0.040020192	0.059141933	0.60710847	0.60710847
48	gene-A1S_2218	4.98E-08	1.30E-06	-4.937153156	0.905577212	2.663976438	8.67187382	0.295659564	0.524410524	0.128088567	0.524410524
49	gene-A1S_3056	6.85E-08	1.75E-06	-1.193166276	0.221157323	4.613584822	0.501710922	0.023013007	0.017730495	0.025897554	0.025897554
50	gene-A1S_0153	1.03E-07	2.56E-06	-1.321120901	0.248230739	5.075131509	0.622865812	0.013534529	0.048083971	0.019505717	0.048083971
51	gene-A1S_2093	1.07E-07	2.63E-06	4.178165045	0.786267388	2.182200949	6.231165318	0.02630923	0.591907175	0.288170965	0.591907175
52	gene-A1S_3407	1.75E-07	4.20E-06	-0.994101525	0.190290057	5.813878113	0.353552818	0.006938426	0.02927188	0.013665333	0.02927188
53	gene-A1S_0801	2.50E-07	5.89E-06	3.839218809	0.744355328	1.859356372	5.181062269	0.039653168	0.362139704	0.514411686	0.514411686
54	gene-A1S_2496	3.15E-07	7.25E-06	4.277027113	0.83631754	2.231631983	6.563938326	0.031944465	0.667482563	0.263335666	0.667482563
55	gene-A1S_2635	3.19E-07	7.25E-06	1.004572599	0.196527469	4.678242514	0.346155959	0.01379443	0.000856454	0.024828616	0.024828616
56	gene-A1S_0011	3.74E-07	8.34E-06	2.28686557	0.450016786	3.099124785	1.869313737	0.119783177	0.069310361	0.08273193	0.08273193
57	gene-A1S_3077	4.09E-07	8.96E-06	-0.872777463	0.172326841	5.397322309	0.273711193	0.009607324	0.020089216	0.016434251	0.020089216
58	gene-A1S_3058	6.07E-07	1.31E-05	-1.324343853	0.265460109	4.226695265	0.630763782	0.036652346	0.032550008	0.033816724	0.033816724
59	gene-A1S_2126	8.66E-07	1.83E-05	1.272269255	0.25860338	4.022098483	0.565802896	0.027582134	0.011787682	0.039293574	0.039293574
60	gene-A1S_1141	1.25E-06	2.58E-05	1.826711254	0.376821592	3.187733778	1.122479866	0.066220463	-0.050937668	0.075774049	0.075774049
61	gene-A1S_2098	1.26E-06	2.58E-05	-3.851205237	0.794779853	2.010106117	5.349144529	0.245739448	0.362086459	0.385935568	0.385935568
62	gene-A1S_0670	1.32E-06	2.66E-05	2.444377037	0.505420734	3.555907307	2.161959778	0.041667112	0.213783006	0.055484827	0.213783006
63	gene-A1S_3288	1.87E-06	3.71E-05	1.596264284	0.334871051	3.496515165	0.871337003	0.054076527	-0.021100855	0.058062094	0.058062094
64	gene-A1S_2659	2.00E-06	3.91E-05	1.67606591	0.352626372	3.139128603	1.019295884	0.038612395	0.085732963	0.079510712	0.085732963
65	gene-A1S_0762	3.91E-06	7.52E-05	-1.348221437	0.29208538	3.991903519	0.618156836	0.045121289	-0.026736557	0.04019258	0.04019258
66	gene-A1S_0814	4.09E-06	7.74E-05	1.50037195	0.32569768	3.513515307	0.805946878	0.048774217	0.034588107	0.057304762	0.057304762
67	gene-A1S_1637	4.46E-06	8.22E-05	-1.238350089	0.269862059	4.102623103	0.557475294	0.03581109	0.033646381	0.037014441	0.037014441
68	gene-A1S_2696	4.48E-06	8.22E-05	1.629181472	0.355096822	6.695379298	0.968806591	0.001363143	0.12473061	0.010806096	0.12473061
69	gene-A1S_3134	5.09E-06	9.22E-05	-1.214062189	0.266192609	4.513683942	0.53855467	0.025596214	0.045262291	0.027680108	0.045262291
70	gene-A1S_2753	5.24E-06	9.35E-05	-1.277434393	0.280453371	4.046005545	0.568119792	0.040054848	-0.003794474	0.038599246	0.038599246
71	gene-A1S_3057	5.86E-06	0.000103054	-0.88551347	0.195415214	4.78489802	0.270110827	0.014987549	-0.001888362	0.023199557	0.023199557
72	gene-A1S_0360	1.02E-05	0.000177571	2.11548322	0.479470837	5.024316099	1.64501794	0.011992633	0.217899651	0.020082046	0.217899651
73	gene-A1S_2736	1.11E-05	0.000189664	-1.155996399	0.263034724	4.387872111	0.491567402	0.029690896	0.03949637	0.03017198	0.03949637
74	gene-A1S_0151	1.46E-05	0.000245756	-1.601985857	0.369526833	3.926105965	0.89237426	0.094310031	-0.038927984	0.042240049	0.042240049
75	gene-A1S_3343	1.61E-05	0.000267459	1.144783927	0.265388283	3.966981593	0.443996356	0.029477353	-0.018747938	0.040953587	0.040953587
76	gene-A1S_0285	2.30E-05	0.000377595	-2.355763591	0.556416512	3.513563655	1.907420169	0.252296703	-0.165977499	0.057302631	0.057302631
77	gene-A1S_2960	2.90E-05	0.000470417	-0.67852037	0.162279892	5.230690606	0.161166253	0.008430352	0.003124082	0.017904412	0.017904412
78	gene-A1S_0869	3.07E-05	0.000491647	-0.822083249	0.197228071	6.147760177	0.231214146	0.026716224	-0.017805439	0.012182688	0.012182688
79	gene-A1S_1726	4.03E-05	0.000637353	1.636150907	0.398509235	4.370967337	0.998203004	0.020192168	0.138617443	0.030529369	0.138617443
80	gene-A1S_2322	4.20E-05	0.000650131	-2.019315824	0.492956458	3.518122782	1.511555015	0.185903749	0.042610575	0.057102321	0.057102321
81	gene-A1S_2835	4.22E-05	0.000650131	1.012961877	0.247347421	4.037598198	0.34432618	0.022339063	-0.018895675	0.038841684	0.038841684
82	gene-A1S_3253	8.14E-05	0.001239511	1.625752773	0.412595352	3.204181399	0.994513976	0.085293748	0.084941176	0.074583005	0.084941176
83	gene-A1S_2166	8.81E-05	0.001325277	-0.883292821	0.225254518	4.622256894	0.2717689	0.024989155	-0.007438909	0.025750443	0.025750443
84	gene-A1S_3404	9.91E-05	0.001473043	-1.765665815	0.453564745	3.527132468	1.107891383	0.149011157	-0.045961968	0.056709822	0.056709822
85	gene-A1S_3069	0.000103451	0.001520123	-0.950357762	0.244789201	4.288094218	0.317857333	0.027557554	-0.002361492	0.032364199	0.032364199
86	gene-A1S_3066	0.000119008	0.001728388	-0.753103654	0.19570487	4.81860082	0.206735832	0.01558294	0.010938251	0.022717456	0.022717456
87	gene-A1S_3072	0.000122673	0.001761139	-0.835076124	0.21742691	4.626510761	0.260189488	0.02159575	0.020012415	0.025678712	0.025678712
88	gene-A1S_3064	0.000127486	0.001809436	-1.10820432	0.289252881	4.655191565	0.465150425	0.021117932	0.062549297	0.025202381	0.062549297
89	gene-A1S_0499	0.000130506	0.001811133	1.304871307	0.341098081	3.484132947	0.64512831	0.04327896	0.073068941	0.058624347	0.073068941
90	gene-A1S_3329	0.000129348	0.001811133	1.652892004	0.43182414	2.967013383	0.931104273	0.092725836	-0.062095415	0.093746252	0.093746252
91	gene-A1S_2477	0.000131997	0.001811691	0.708320109	0.185292997	4.80111203	0.179731903	0.011367759	0.007371408	0.022965736	0.022965736
92	gene-A1S_0297	0.000133657	0.001814544	-3.711954998	0.971812598	1.162830318	4.642856001	0.019988937	0.054990112	0.924430789	0.924430789
93	gene-A1S_0669	0.000137128	0.001822047	1.902381536	0.498881607	3.042936531	1.372273741	0.058453869	0.190428988	0.087311517	0.190428988
94	gene-A1S_2186	0.000136118	0.001822047	1.2884099	0.337711754	3.325642938	0.564890976	0.047275535	-0.029939106	0.066773694	0.066773694
95	gene-A1S_2142	0.00016204	0.002130393	3.303351473	0.875790015	1.634395891	3.944696145	0.063243879	0.397734861	0.703764271	0.703764271
96	gene-A1S_0592	0.000176308	0.002293845	0.943482639	0.251545243	4.056508118	0.313622898	0.024976003	0.000378599	0.038299006	0.038299006
97	gene-A1S_0802	0.000180074	0.002318679	2.201501503	0.587780859	2.336365802	1.67338711	0.129817139	-0.043040907	0.215669199	0.215669199
98	gene-A1S_1383	0.00019157	0.002441545	2.596723661	0.696194819	2.193551143	2.301670666	0.202310588	-0.121291476	0.282376639	0.282376639
99	gene-A1S_1186	0.000194152	0.002449448	0.623107721	0.167209588	5.057987637	0.132685276	0.008261969	-0.003365671	0.019697077	0.019697077
100	gene-A1S_3104	0.000204893	0.002559111	1.528369917	0.411637089	4.154180237	0.891601597	0.028545258	0.140899835	0.035641253	0.140899835
101	gene-A1S_0876	0.000261338	0.00323179	0.990900768	0.271413815	3.874490274	0.354721754	0.029749993	0.011390471	0.043915466	0.043915466
102	gene-A1S_1268	0.000282134	0.003454754	-3.540818116	0.975116307	1.077261878	4.181484282	0.021800194	-0.018270238	0.929051618	0.929051618
103	gene-A1S_2705	0.000307313	0.003726539	2.331102115	0.64590347	3.29853238	2.089473219	0.111675605	0.305515687	0.068379688	0.305515687
104	gene-A1S_0183	0.000357389	0.004171763	1.846513367	0.51727395	2.684014733	1.201219556	0.14249325	-0.045469725	0.125079089	0.125079089
105	gene-A1S_0281	0.000352861	0.004171763	1.105142242	0.309300259	3.554807132	0.413477942	0.040135757	-0.030588532	0.055530893	0.055530893
106	gene-A1S_2172	0.00035042	0.004171763	-1.157482686	0.323784407	3.722453399	0.500464159	0.055751816	0.025061338	0.049084526	0.049084526
107	gene-A1S_3068	0.000356228	0.004171763	-1.143021153	0.320124361	4.431108911	0.503818856	0.027508252	0.074971355	0.029282828	0.074971355
108	gene-A1S_2681	0.000362509	0.004192352	0.628395762	0.176220019	4.958584081	0.149932963	0.01018387	0.017274958	0.020869625	0.020869625
109	gene-A1S_0818	0.000384197	0.004402402	-2.649089677	0.746073711	2.77105355	2.462986437	0.443073833	-0.257432235	0.113552149	0.113552149
110	gene-A1S_0721	0.00041955	0.004763797	1.78004086	0.504622397	2.718547418	1.22594433	0.123522463	0.1311213	0.120226323	0.1311213
111	gene-A1S_2329	0.000449524	0.005058156	1.216166137	0.346568987	3.401414212	0.515165195	0.057472759	-0.024255002	0.062637304	0.062637304
112	gene-A1S_3415	0.00046278	0.005160826	-3.428190757	0.979084927	1.020948198	3.921997646	0.033709412	-0.026958876	0.924897883	0.924897883
113	gene-A1S_3000	0.000470241	0.005197615	-0.831420814	0.237741748	4.316595994	0.239294837	0.024803828	-0.011491857	0.031717311	0.031717311
114	gene-A1S_0087	0.000492714	0.005382567	-1.591979533	0.456850147	3.19591639	0.95053658	0.133534971	0.025070481	0.075177085	0.075177085
115	gene-A1S_2628	0.000495593	0.005382567	-0.96439085	0.276874992	4.023488256	0.32400499	0.037406968	-0.016424338	0.039252793	0.039252793
116	gene-A1S_2450	0.000673322	0.007249821	1.321069905	0.388525086	3.056637445	0.589210254	0.064766599	-0.053564065	0.086185143	0.086185143
117	gene-A1S_0114	0.000781734	0.008345178	-3.307095604	0.984494157	0.960400622	3.706735493	0.054506377	0.037156195	0.914722368	0.914722368
118	gene-A1S_2458	0.000925912	0.009800539	1.165810701	0.351983019	3.361517841	0.535632894	0.051603194	0.072288852	0.064754131	0.072288852
119	gene-A1S_0150	0.000938838	0.009853859	-0.844356478	0.255228193	4.158139359	0.251757929	0.029602961	-0.008434999	0.035538469	0.035538469
120	gene-A1S_0671	0.000958026	0.009971454	3.919205342	1.186713183	2.438995943	6.058915622	0.046175434	1.362112743	0.177922518	1.362112743
121	gene-A1S_0593	0.000978883	0.010104333	1.247142207	0.37832005	3.567220346	0.613871935	0.037325327	0.105800733	0.055014531	0.105800733
122	gene-A1S_2318	0.00106523	0.01090551	3.014177514	0.92100451	1.529379244	3.392456598	0.072761418	0.473290436	0.775487891	0.775487891
123	gene-A1S_2214	0.001112114	0.011292931	-3.157687848	0.968463912	0.885696743	3.339341768	0.043656061	-0.02013968	0.894266288	0.894266288
124	gene-A1S_0672	0.001172459	0.011809688	3.002796405	0.925219354	1.523688689	3.347147818	0.076784885	0.435543719	0.779245969	0.779245969
125	gene-A1S_2323	0.001353085	0.013440294	-0.81476119	0.254257223	4.182831454	0.24022111	0.029740932	-0.001327165	0.034905803	0.034905803
126	gene-A1S_2868	0.001355866	0.013440294	-3.022352271	0.943339814	0.818028955	3.211611382	0.021305523	0.228804925	0.868584482	0.868584482
127	gene-A1S_3073	0.001403083	0.013798827	-1.385897601	0.433904398	3.359061266	0.745113749	0.123384242	0.033930301	0.064888784	0.064888784
128	gene-A1S_2113	0.001495505	0.014592862	1.515157176	0.477131565	2.694218696	0.802842051	0.104051617	-0.047639174	0.123602913	0.123602913
129	gene-A1S_2317	0.001536286	0.014874586	1.530962344	0.483297919	3.033674988	0.936999818	0.087626721	0.145950158	0.088077639	0.145950158
130	gene-A1S_0283	0.001581612	0.015113539	-0.8287976	0.262337761	4.419490436	0.274849221	0.023312785	0.045508316	0.029518288	0.045508316
131	gene-A1S_1709	0.001585167	0.015113539	3.160061911	1.000455723	1.885234094	3.995938198	0.043641726	0.957269928	0.490188715	0.957269928
132	gene-A1S_0845	0.001645153	0.015566642	1.737520792	0.551982884	2.464058701	1.009569079	0.134455703	-0.129591335	0.170229402	0.170229402
133	gene-A1S_1063	0.001675371	0.015733367	-3.064477961	0.975185727	0.8390918	3.225083461	0.073708469	0.068404136	0.877278733	0.877278733
134	gene-A1S_0663	0.00177718	0.016442203	2.878300161	0.921013574	1.564243961	3.260002222	0.096217481	0.651479945	0.752048522	0.752048522
135	gene-A1S_3026	0.001773278	0.016442203	-2.940705579	0.940787786	0.777205609	2.906890378	0.035073574	0.001387343	0.850008084	0.850008084
136	gene-A1S_0779	0.001838839	0.016881313	1.214862374	0.38999172	4.2510003	0.593359223	0.01715158	0.134941961	0.033231909	0.134941961
137	gene-A1S_1338	0.001855297	0.016881313	0.990196746	0.318138697	3.515113812	0.330133079	0.043977837	-0.039023015	0.057234394	0.057234394
138	gene-A1S_1385	0.001887982	0.016881313	-2.916174253	0.938488293	0.764939946	2.839872577	0.036763541	-0.028990813	0.843996736	0.843996736
139	gene-A1S_1865	0.001897753	0.016881313	3.080436725	0.991838674	1.323127727	3.357436146	0.09854502	0.193063991	0.885198935	0.885198935
140	gene-A1S_2447	0.001866321	0.016881313	-2.89627184	0.931061713	0.75498874	3.126503042	0.027897682	0.467661594	0.838978232	0.838978232
141	gene-A1S_3059	0.001905737	0.016881313	-0.798789523	0.257297033	4.254647525	0.225892042	0.03305649	-0.013250777	0.033145273	0.033145273
142	gene-A1S_2723	0.001959722	0.017237276	-2.916174253	0.941834796	0.764939946	2.839872577	0.043056047	-0.035283319	0.843996736	0.843996736
143	gene-A1S_0414	0.002009114	0.017548136	1.858377018	0.601634244	3.035748442	1.392497556	0.125295332	0.236668431	0.087905763	0.236668431
144	gene-A1S_0420	0.002138063	0.018544725	1.512627522	0.492655985	2.760898487	0.923267021	0.127926635	0.112952887	0.114783285	0.114783285
145	gene-A1S_1544	0.002178785	0.018767605	-1.2943949	0.422354276	3.379016451	0.607723951	0.114573403	-0.040716555	0.063809732	0.063809732
146	gene-A1S_0152	0.002213559	0.018805414	-1.667300551	0.544874026	3.095316151	1.031160155	0.213848052	-0.057053383	0.083039653	0.083039653
147	gene-A1S_1270	0.002201996	0.018805414	-3.029023242	0.989378087	1.59901512	3.602950082	0.250670264	0.566263958	0.728198735	0.728198735
148	gene-A1S_3055	0.002228344	0.018805414	-1.222587906	0.39980244	3.34186525	0.523110379	0.09399587	-0.056690894	0.065846121	0.065846121
149	gene-A1S_0606	0.002321008	0.019326263	0.89127785	0.292630021	3.634729078	0.267013529	0.033305802	-0.029973612	0.052326527	0.052326527
150	gene-A1S_1863	0.002317521	0.019326263	3.113698456	1.022157589	1.109973311	3.300544794	0.115860407	-0.012602253	0.92894573	0.92894573
151	gene-A1S_0794	0.002371941	0.019619562	-2.823396941	0.928988317	0.71855129	2.679016378	0.043464381	-0.010724956	0.819554912	0.819554912
152	gene-A1S_0748	0.002480275	0.020380681	-1.194554939	0.394797938	3.437266664	0.532815785	0.095025425	-0.009282499	0.060839987	0.060839987
153	id-A1S_r03	0.002611673	0.020910126	1.235446367	0.410434553	4.32543759	0.621080257	0.004074247	0.164382275	0.031520062	0.164382275
154	id-A1S_r04	0.002611673	0.020910126	1.235446367	0.410434553	4.32543759	0.621080257	0.004074247	0.164382275	0.031520062	0.164382275
155	id-A1S_r10	0.002611673	0.020910126	1.235446367	0.410434553	4.32543759	0.621080257	0.004074247	0.164382275	0.031520062	0.164382275
156	id-A1S_r13	0.002611673	0.020910126	1.235446367	0.410434553	4.32543759	0.621080257	0.004074247	0.164382275	0.031520062	0.164382275
157	gene-A1S_2930	0.002661127	0.021170369	1.752651707	0.583363305	2.389855907	1.036075465	0.145541397	-0.127322202	0.194771349	0.194771349
158	gene-A1S_0551	0.002728877	0.021319872	-2.783311669	0.928781347	0.698508654	2.586034919	0.054438425	-0.048797968	0.808196366	0.808196366
159	gene-A1S_1376	0.002725669	0.021319872	-1.041371548	0.347460457	3.654856947	0.366959847	0.069168559	-0.060956138	0.051560211	0.051560211
160	gene-A1S_3385	0.002731129	0.021319872	1.079081638	0.360115973	4.529442311	0.474594737	0.01598829	0.113695224	0.027387884	0.113695224
161	gene-A1S_2846	0.002781802	0.02158056	2.164654963	0.723753289	2.195389058	1.829347547	0.24237601	0.158779757	0.281442813	0.281442813
162	gene-A1S_2102	0.00292271	0.022533735	-1.992246904	0.669493573	2.88529237	1.455287826	0.346957682	-0.148549806	0.101263963	0.101263963
163	gene-A1S_2924	0.002947472	0.022585227	1.074267666	0.361321393	3.336418635	0.471719105	0.056074566	0.074478583	0.066154853	0.074478583
164	gene-A1S_1266	0.003101114	0.023617632	-2.201595821	0.74440276	2.667037636	1.625718278	0.426516469	-0.411451131	0.127619	0.127619
165	id-A1S_0679	0.003207789	0.023848383	1.245564817	0.422642144	2.548756359	0.567873338	0.029803127	0.046291023	0.148823256	0.148823256
166	id-A1S_0681	0.003207789	0.023848383	1.245564817	0.422642144	2.548756359	0.567873338	0.029803127	0.046291023	0.148823256	0.148823256
167	id-A1S_2954	0.003207789	0.023848383	1.245564817	0.422642144	2.548756359	0.567873338	0.029803127	0.046291023	0.148823256	0.148823256
168	id-A1S_2993	0.003207789	0.023848383	1.245564817	0.422642144	2.548756359	0.567873338	0.029803127	0.046291023	0.148823256	0.148823256
169	gene-A1S_0552	0.003262204	0.024109427	-2.664104633	0.905577241	0.638905136	2.390988751	0.048272161	-0.010515782	0.771797979	0.771797979
170	gene-A1S_2765	0.003371159	0.024623257	-2.632652561	0.897996235	0.6231791	2.402386215	0.04481126	0.093338309	0.761585979	0.761585979
171	gene-A1S_2913	0.003362119	0.024623257	-2.697854201	0.919974806	0.65577992	2.426210573	0.063870638	-0.063763423	0.782483006	0.782483006
172	gene-A1S_2256	0.003509542	0.025484991	-2.605621565	0.892587008	0.609663602	2.447560625	0.044090501	0.232618567	0.752621066	0.752621066
173	gene-A1S_0480	0.003576164	0.025818662	0.932354213	0.320032325	3.575035816	0.347064803	0.04772751	0.038227505	0.054693179	0.054693179
174	gene-A1S_2682	0.003675783	0.026385362	1.059669441	0.364809125	3.530583767	0.463023573	0.055574135	0.077511562	0.056560628	0.077511562
175	gene-A1S_0357	0.003982921	0.028426673	2.088784456	0.725395477	2.157453805	1.694523038	0.225260284	0.135014021	0.300938314	0.300938314
176	gene-A1S_3309	0.004034999	0.028570518	-1.135342959	0.394845245	3.372968834	0.446464471	0.091769538	-0.06657465	0.06413323	0.06413323
177	gene-A1S_3414	0.004048824	0.028570518	-3.653214842	1.270978503	2.384569092	5.525583798	0.127778707	1.487607647	0.196720638	1.487607647
178	gene-A1S_3061	0.004112262	0.028855145	-0.552023709	0.192381681	4.856294348	0.109118857	0.014814816	-0.003501618	0.022195895	0.022195895
179	gene-A1S_1912	0.004138473	0.028876829	-2.664978127	0.929402729	0.639341883	2.367707621	0.091711296	-0.091204075	0.772078136	0.772078136
180	gene-A1S_1528	0.004284521	0.029729814	-0.989385424	0.346372902	3.780764339	0.406277297	0.052512928	0.067461259	0.047048846	0.067461259
181	gene-A1S_1008	0.004415841	0.030304318	0.657255441	0.230873604	4.255256471	0.144224005	0.020171784	-0.019828134	0.033130837	0.033130837
182	gene-A1S_3402	0.004394004	0.030304318	-2.154273907	0.756310907	2.352583422	1.661701145	0.362944117	-0.190840433	0.209062071	0.209062071
183	gene-A1S_0546	0.004470397	0.030511074	-2.60487077	0.916269815	0.609288204	2.266335603	0.08718073	-0.080353189	0.752369644	0.752369644
184	gene-A1S_2687	0.004661444	0.031642085	0.66263468	0.234184293	4.371309033	0.182923095	0.020451963	0.034390321	0.03052209	0.034390321
185	gene-A1S_0342	0.004748254	0.032057129	-2.431099045	0.86098228	0.522402342	2.189148944	0.050291498	0.278310635	0.690998988	0.690998988
186	gene-A1S_2018	0.004786094	0.032138882	2.700080412	0.957105768	1.610050223	3.040845712	0.077131953	0.838919498	0.720581404	0.838919498
187	gene-A1S_2598	0.00481745	0.032176441	2.031847821	0.720770669	3.263410131	1.722475428	0.160113349	0.359397009	0.070571477	0.359397009
188	gene-A1S_1954	0.004933986	0.032733972	2.622339648	0.932781319	1.49466516	2.830534063	0.072058484	0.735409995	0.798022504	0.798022504
